Id,SalePrice
2658,157162.8064208487
2718,141921.65467031355
2414,205071.24126133494
1989,105095.95371016019
625,171820.5831624876
333,80599.70860252078
1327,120588.46416052722
858,159479.84023826002
95,193293.14508842322
1568,184521.87654250176
2482,151032.0692364148
1364,121114.02212825941
2584,161931.58673553925
818,274435.20430160535
2673,169741.09973662076
2089,158764.5283761982
1297,197834.1868716852
790,117630.86114836167
2616,217626.18725534587
720,152166.5530148711
222,150305.72061040363
557,126694.9850701624
1148,184277.63251054808
2766,175055.48522016546
534,192439.70834540017
1452,126599.999261024
630,133728.99541645168
2648,110242.03966500932
125,152320.6714077879
1904,56904.890814317594
1670,122973.4230948714
756,86852.15602874808
717,263086.1128675032
1032,155252.94561995455
852,215494.27918913966
1731,174585.88604942008
2639,111459.81332567937
2071,92954.85514533892
1267,150128.8317833248
1851,197848.09661970523
567,161999.14626742044
2439,207563.74453537154
1898,148389.32197139747
647,189739.49136245192
2256,213167.78502255358
979,95276.96142477228
1444,216749.04872320069
2485,119661.94262237556
157,132220.0868089273
88,118604.2088072545
2003,95650.53383411297
186,201439.02189002905
1425,250041.29542226915
2695,132226.7620212266
738,100721.265397793
395,147617.13926519535
1353,184574.14193663542
1878,157592.8727612863
390,152324.88801985182
1456,230281.64297111577
1103,304082.79730964795
1387,122113.13497401691
2070,140449.84850850696
1199,168575.10267456705
2479,167278.26253791738
501,306386.0090804958
2362,94350.01845160326
1718,205308.00097893734
2188,78233.08732400787
1483,147779.93923465023
2557,106674.0034166321
437,341129.36972335225
2224,211296.20847427257
1628,193350.08748771803
397,135450.34852674996
587,178839.7590114929
971,156597.38282895365
2611,149009.6517568604
1887,98130.24794852277
2399,364045.91074538307
2148,209432.8660733852
304,110331.61665715589
1997,121108.35938399448
2817,126537.00646616536
1431,192587.92136744174
427,389812.6215673273
263,126585.95549946686
598,155731.93910959197
2895,288135.1379779639
687,140168.00751245895
1822,126841.15800125519
2191,139084.07123008894
179,129737.83274770109
1009,226843.791694045
2010,129917.52589208039
1991,137759.6347040276
1411,151966.49147576533
1721,241047.5456673065
1144,177314.96192290634
593,217572.11899828402
575,277545.1773027984
1249,198887.39664216412
1604,127058.34040561903
1064,488514.7715480935
1923,161596.64313664346
1988,87378.77669563823
2325,164444.00213596367
114,200106.55718258553
2700,175315.91949962822
217,106473.5178900761
343,164277.54993556128
386,249016.0652996565
2005,127508.73043056042
2908,147546.04586560492
1814,214752.52231640264
2446,565979.9879292662
208,135175.91166704515
1679,108951.65109894556
822,323138.24738664355
6,188128.6857432223
1781,410000.7430085162
2397,299708.7245116492
2340,296788.9179371682
1618,156378.16081829372
2843,132576.50314190422
1061,359604.62177894823
2786,127609.24369298798
1935,135635.09311713424
1341,131894.771130539
521,278413.31763790804
2136,127896.3466532637
996,180465.52142134038
227,137813.0031742869
135,165414.59710960346
1167,150823.27681172403
294,259606.88990654302
1776,232902.181587515
540,182157.07033842336
1717,216774.7300580179
2303,133996.5233526004
116,181970.89694279837
127,140778.75454266457
1371,147689.8914381807
1014,147589.2634965898
1507,95733.58781286594
702,113756.7682033375
750,155569.64558631732
261,142706.80221072657
1559,78283.52959967827
577,229280.36943449988
2812,203223.70886187107
2080,162001.38212512425
1368,100914.77672135216
2376,124152.40345700765
659,101421.16374828864
1235,127671.93369536113
332,63886.85321490133
1917,138642.52411815207
2094,235469.18323080317
1460,283719.7517280663
1471,196952.8373237042
1509,123488.64717497988
1922,139345.873837629
433,516229.89741737186
460,293730.88506751746
1116,245583.82620467685
1137,158438.45547648557
53,164055.6924480417
2354,278541.3382263846
1475,200960.7869945938
1761,652302.7168559555
842,141283.41562739993
2739,163348.76682036504
2509,155789.943874578
1007,213037.00267975792
2610,188083.0720363747
1952,54798.628765301444
2719,137579.15881101793
2921,77594.8452873883
1966,127670.48826825485
292,102944.5984625245
1204,184755.32246130734
1829,273470.76381970954
2419,190989.61495609512
391,153114.9430865538
